Pk,Yrs,WS
1.0,21.0,263.7
2.0,10.0,7.1
3.0,19.0,108.5
4.0,13.0,106.0
5.0,16.0,120.7
6.0,13.0,24.6
7.0,13.0,52.5
8.0,8.0,16.9
9.0,4.0,7.8
10.0,7.0,10.2
11.0,10.0,19.7
12.0,14.0,44.5
13.0,8.0,6.6
14.0,12.0,36.0
15.0,3.0,-0.6
16.0,1.0,-0.2
17.0,3.0,1.1
18.0,15.0,85.9
19.0,10.0,7.0
20.0,13.0,9.9
21.0,14.0,51.6
22.0,3.0,1.5
23.0,11.0,16.5
24.0,9.0,10.2
25.0,8.0,22.5
26.0,2.0,0.1
27.0,14.0,27.9
28.0,14.0,37.4
29.0,10.0,38.0
30.0,3.0,-0.2
