Pk,Yrs,WS
1.0,9.0,20.1
2.0,5.0,30.4
3.0,10.0,56.0
4.0,14.0,75.2
5.0,10.0,17.4
6.0,1.0,0.8
7.0,12.0,45.0
8.0,16.0,42.1
9.0,17.0,84.7
10.0,13.0,54.2
11.0,16.0,86.8
12.0,10.0,27.4
13.0,10.0,9.6
14.0,15.0,135.6
15.0,2.0,0.0
16.0,9.0,8.9
17.0,2.0,-0.1
18.0,11.0,20.9
19.0,11.0,36.3
20.0,8.0,30.2
21.0,12.0,5.6
22.0,9.0,17.2
23.0,6.0,15.2
24.0,3.0,-0.1
25.0,4.0,3.9
26.0,1.0,0.4
27.0,1.0,0.9
28.0,3.0,2.2
29.0,2.0,2.5
30.0,17.0,41.9
