Pk,Yrs,WS
1.0,8.0,65.9
2.0,1.0,0.8
3.0,15.0,58.5
4.0,14.0,43.9
5.0,4.0,-1.6
6.0,4.0,0.0
7.0,17.0,73.3
8.0,11.0,26.9
9.0,14.0,92.5
10.0,14.0,50.9
11.0,11.0,13.1
12.0,9.0,4.0
13.0,4.0,0.5
14.0,7.0,16.5
15.0,6.0,8.7
16.0,4.0,5.7
17.0,7.0,6.1
18.0,2.0,1.0
19.0,3.0,-0.4
20.0,7.0,1.7
21.0,4.0,1.4
22.0,4.0,6.2
23.0,14.0,63.1
24.0,7.0,21.5
25.0,3.0,0.1
26.0,13.0,33.9
27.0,2.0,-0.5
28.0,6.0,5.9
30.0,,
