Pk,Yrs,WS
1.0,11.0,21.8
2.0,13.0,34.8
3.0,12.0,55.7
4.0,15.0,88.7
5.0,11.0,22.5
6.0,8.0,10.9
7.0,12.0,24.6
8.0,5.0,1.9
9.0,12.0,14.7
10.0,10.0,26.7
11.0,13.0,55.3
12.0,13.0,71.8
13.0,3.0,1.4
14.0,13.0,85.0
15.0,5.0,5.6
16.0,14.0,49.6
17.0,14.0,89.5
18.0,11.0,45.0
19.0,4.0,-0.1
20.0,4.0,-0.1
21.0,10.0,24.2
22.0,3.0,2.1
23.0,2.0,-0.5
24.0,4.0,1.0
25.0,3.0,0.5
26.0,16.0,96.4
27.0,4.0,3.7
28.0,12.0,32.9
29.0,1.0,0.0
30.0,2.0,0.0
