Pk,Yrs,WS
1.0,19.0,181.7
2.0,15.0,89.7
3.0,13.0,64.9
4.0,14.0,35.8
5.0,11.0,32.8
6.0,13.0,40.2
7.0,11.0,33.9
8.0,8.0,17.5
9.0,13.0,58.4
10.0,9.0,24.9
11.0,16.0,66.3
12.0,4.0,4.2
13.0,10.0,29.5
14.0,8.0,17.1
15.0,13.0,30.7
16.0,4.0,0.6
17.0,15.0,55.7
18.0,12.0,24.1
19.0,9.0,9.4
20.0,12.0,27.7
21.0,14.0,37.2
22.0,9.0,21.1
23.0,7.0,7.9
24.0,13.0,56.3
25.0,5.0,0.0
26.0,2.0,-0.3
27.0,4.0,3.9
28.0,2.0,2.6
29.0,15.0,89.8
30.0,12.0,16.2
