Pk,Yrs,WS
1.0,15.0,64.3
2.0,17.0,145.5
3.0,9.0,25.2
4.0,10.0,33.4
5.0,15.0,47.8
6.0,12.0,20.9
7.0,7.0,16.9
8.0,3.0,0.1
9.0,8.0,9.1
10.0,6.0,5.2
11.0,14.0,56.2
12.0,4.0,2.0
13.0,11.0,35.8
14.0,3.0,2.4
15.0,3.0,0.2
16.0,11.0,33.3
17.0,4.0,1.7
18.0,11.0,15.8
19.0,12.0,33.4
20.0,4.0,1.8
21.0,9.0,20.0
22.0,4.0,1.3
23.0,6.0,10.8
24.0,8.0,1.0
25.0,5.0,4.8
26.0,3.0,0.7
27.0,15.0,62.8
28.0,2.0,0.1
29.0,13.0,59.6
30.0,8.0,9.0
