Pk,Yrs,WS
1.0,13.0,67.8
2.0,13.0,80.7
3.0,17.0,120.1
4.0,6.0,15.4
5.0,7.0,15.3
6.0,13.0,53.0
7.0,10.0,26.9
8.0,16.0,79.0
9.0,13.0,75.6
10.0,9.0,16.3
11.0,10.0,17.2
12.0,10.0,44.4
13.0,18.0,48.8
14.0,18.0,36.1
15.0,6.0,5.2
16.0,9.0,22.1
17.0,3.0,2.4
18.0,5.0,2.9
19.0,9.0,15.1
20.0,13.0,109.6
21.0,16.0,36.6
22.0,7.0,3.9
23.0,3.0,0.3
24.0,9.0,27.5
25.0,3.0,2.4
26.0,,
27.0,1.0,0.3
28.0,6.0,31.2
29.0,17.0,65.6
30.0,2.0,0.7
