Season,Age,Experience,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1979-80,28.0,8,DET,NBA,PF,58.0,2097.0,16.3,0.524,0.023,0.314,5.0,18.5,11.7,13.9,1.6,1.6,16.9,25.8,,0.5,1.6,2.0,0.047,,0.0,-0.8,-0.8,0.6
1980-81,29.0,9,TOT,NBA,PF,16.0,321.0,14.4,0.471,0.006,0.261,5.8,18.8,12.0,14.7,2.5,2.3,15.5,25.8,,-0.3,0.5,0.2,0.029,,-2.0,0.5,-1.4,0.1
1981-82,30.0,10,LAL,NBA,C,41.0,746.0,14.4,0.509,0.015,0.382,6.8,16.1,11.6,5.5,1.4,2.6,11.7,23.2,,0.5,1.0,1.5,0.095,,-2.3,-0.4,-2.7,-0.1
1982-83,31.0,11,LAL,NBA,C,47.0,1019.0,20.6,0.555,0.002,0.29,8.7,17.8,13.4,5.3,1.8,2.1,9.7,27.2,,2.3,1.2,3.5,0.167,,0.7,-0.9,-0.2,0.5
1983-84,32.0,12,LAL,NBA,C,70.0,1456.0,15.9,0.53,0.007,0.353,6.9,15.0,11.2,6.9,1.3,1.8,12.8,27.4,,1.1,1.6,2.7,0.089,,-1.7,-1.2,-2.8,-0.3
1984-85,33.0,13,LAL,NBA,C,66.0,1254.0,15.4,0.559,0.002,0.297,7.9,17.9,13.4,6.9,0.7,2.3,13.3,23.0,,1.4,1.5,2.9,0.11,,-1.3,-0.8,-2.1,0.0
1985-86,34.0,14,PHI,NBA,C,29.0,609.0,12.2,0.513,0.0,0.323,4.6,14.3,9.5,8.5,0.8,1.7,14.6,22.2,,0.2,0.5,0.7,0.056,,-2.2,-1.2,-3.4,-0.2
,,
