Season,Age,Experience,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2016-17,22,1,PHI,NBA,C,31,786,24.1,0.584,0.228,0.569,8.5,25.6,17.0,16.0,1.7,7.7,17.9,36.0,,0.5,1.5,1.9,0.117,,1.9,2.7,4.5,1.3
2017-18,23,2,PHI,NBA,C,63,1912,22.9,0.573,0.203,0.442,8.4,29.7,19.4,18.0,1.0,4.8,15.6,33.4,,2.3,3.8,6.2,0.155,,2.0,1.3,3.3,2.6
2018-19,24,3,PHI,NBA,C,64,2154,26.1,0.593,0.219,0.541,8.1,34.0,21.4,18.4,1.0,4.4,13.2,33.3,,4.9,3.8,8.7,0.194,,4.0,0.9,4.9,3.8
2019-20,25,4,PHI,NBA,C,51,1506,25.8,0.59,0.215,0.543,10.3,33.2,21.7,16.9,1.4,3.7,13.8,32.9,,3.3,2.7,6.0,0.192,,3.7,1.0,4.7,2.5
2020-21,26,5,PHI,NBA,C,51,1585,30.3,0.636,0.171,0.61,8.0,29.1,18.7,16.2,1.5,3.9,12.2,35.3,,5.6,3.2,8.8,0.266,,6.3,1.2,7.5,3.8
2021-22,27,6,PHI,NBA,C,68,2297,31.2,0.616,0.188,0.602,7.2,31.1,19.4,23.5,1.7,3.9,11.3,37.2,,7.9,4.1,12.0,0.252,,7.2,2.0,9.2,6.5
2022-23,28,7,PHI,NBA,C,66,2284,31.4,0.655,0.151,0.581,5.9,28.3,17.3,22.9,1.4,4.6,11.9,37.0,,8.4,3.9,12.3,0.259,,6.8,2.3,9.2,6.4
2023-24,29,8,PHI,NBA,C,39,1309,34.1,0.644,0.163,0.531,7.9,28.8,18.1,32.4,1.7,4.6,12.5,39.6,,5.2,2.3,7.5,0.275,,8.5,3.1,11.6,4.5
